EAN	Offer_id	Titel	"Günstigster Gesamtpreis neu"	"Günstigster Gesamtpreis gebraucht"	"Ihr Gesamtpreis"	"Differenz zu neu absolut"	"Differenz zu neu %"	"Differenz zu gebraucht absolut"	"Differenz zu gebraucht %"	"Zustand des Angebots"
5901738004009	87-162-B5	"LUCA Bettanlage Bett Schlafzimmerbett + 2 Nachtkästchen Pinie Weiß / Trüffel"	383,00	0,00	383,80	0,80	0,21	383,80	100,00	new
4038889038971	84-100-68	"Küche Welcome X Küchenblock Küchenzeile Komplettküche 240cm Singleküche Miniküche Kleinküche weiß Eiche"	416,00	0,00	416,70	0,70	0,17	416,70	100,00	new
4250314519101	30-32-WM-01	"RENO Garderobenschrank Dielenschrank Garderobe Flur Schrank Weiß/Grau"	308,00	0,00	308,40	0,40	0,13	308,40	100,00	new
5706887888841	77813-49	"Regal PARIS Büromöbel Buchregal Landhausstil weiß"	220,00	0,00	220,40	0,40	0,18	220,40	100,00	new
5901730809756	62-342-16	"Stuhl JOELLE Esszimmerstuhl Armlehe Samt Blumen Stuhl grau"	191,00	0,00	191,30	0,30	0,16	191,30	100,00	new
4038889035352	39-968-13	"Schreibtisch SPICE 2 Schreibtisch PC Tisch weiß Hochglanz"	238,09	0,00	238,10	0,01	0,00	238,10	100,00	new
4061722020147	64-770-604	"Couch Paco Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar anthrazit dunkelgrau 260 cm"	739,66	0,00	739,67	0,01	0,00	739,67	100,00	new
4061722024619	64-780-24L	"Sofa Garnitur Melfie XL Inkl. Schlaffunktion"	1247,52	0,00	1247,53	0,01	0,00	1247,53	100,00	new
4061722026309	64-798-249	"Ecksofa Jasper Couch Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar dunkelgrau Ottomane universell mit Topper L-Form"	851,66	0,00	851,67	0,01	0,00	851,67	100,00	new
4061722040480	64-838-40	"Couch Jana Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar schlamm grau 208 cm"	553,80	0,00	553,81	0,01	0,00	553,81	100,00	new
4250826324576	56-289-61	"Funktionspolsterbett ASPEN B2 Boxspringbett Doppelbett Polsterbett Schlafzimmer 180 x 200 cm hellbraun"	1053,57	0,00	1053,58	0,01	0,00	1053,58	100,00	new
4250826388431	64-690-894	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar silber 208 cm"	549,38	0,00	549,39	0,01	0,00	549,39	100,00	new
4250826388455	64-690-604	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar anthrazit 208 cm"	571,88	0,00	571,89	0,01	0,00	571,89	100,00	new
4250826388462	64-690-264	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar denim blau 208 cm"	541,78	0,00	541,79	0,01	0,00	541,79	100,00	new
4250826388479	64-690-204	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar sand beige 208 cm"	572,68	0,00	572,69	0,01	0,00	572,69	100,00	new
4250826388486	64-690-104	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar stone 208 cm"	541,88	0,00	541,89	0,01	0,00	541,89	100,00	new
4250826388493	64-690-694	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar berry rot 208 cm"	571,88	0,00	571,89	0,01	0,00	571,89	100,00	new
4250826388509	64-690-914	"Couch Luigi Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar senf gelb 208 cm"	545,79	0,00	545,80	0,01	0,00	545,80	100,00	new
5901730807578	83-744-07	"Couchtisch Vancouver Beistelltisch Wohnzimmertisch Tisch Eiche massiv geölt"	206,68	0,00	206,69	0,01	0,00	206,69	100,00	new
4250826344444	56-A47-973	"Boxspringbett MALIBU2 180cm gelb safran Funktionspolsterbett Doppelbett Polsterbett Schlafzimmer"	1138,57	0,00	1138,58	0,01	0,00	1138,58	100,00	new
0702024410123	39-392-17	"Schreibtisch  PRIMUS 2 Computertisch PC-Tisch Homeoffice Tisch Büro Weiß"	189,40	0,00	189,40	0,00	0,00	189,40	100,00	new
0702024410130	39-730-68	"Schreibtisch Eckschreibtisch MANAGER mit integriertem Sideboard / Farbe: Eiche Sonoma / Weiß"	251,90	0,00	251,90	0,00	0,00	251,90	100,00	new
0702024410185	89-450-66	"Regalwand OFFICE LINE Regal Regal-Set Aktenschrank Aktenregal Büro-Einrichtung / Sonoma Eiche"	271,00	0,00	271,00	0,00	0,00	271,00	100,00	new
0702024410192	89-450-17	"Regalwand OFFICE LINE Regal Regal-Set  Aktenschrank Aktenregal Büro Einrichtung weiß"	271,10	0,00	271,10	0,00	0,00	271,10	100,00	new
0702024410277	39-391-66	"Schreibtisch PRIMUS PC Tisch Computertisch Home-Office Büro Eiche Sonoma"	141,80	0,00	141,80	0,00	0,00	141,80	100,00	new
0702024410482	58-300-68	"Schwebetürenschrank WIKI Kleiderschrank Schrank Kinderzimmer Jugendzimmer Sonoma Weiß"	261,30	0,00	261,30	0,00	0,00	261,30	100,00	new
0702024410529	39-178-68	"Schreibtisch WIKI Kinderzimmer Jugendzimmer PC Büro Sonoma Eiche Nachbildung Weiß"	179,70	0,00	179,70	0,00	0,00	179,70	100,00	new
0702024411588	39-451-30	"Eckschreibtisch OFFICE LINE Winkelschreibtisch Schreibtisch Rollcontainer Büro walnuss"	289,00	0,00	289,00	0,00	0,00	289,00	100,00	new
5907636944386	58-299-68	"Kleiderschrank WIKI 2-türig Schrank Kinderzimmer Jugendzimmer Sonoma Weiß"	209,10	0,00	209,10	0,00	0,00	209,10	100,00	new
0702024414947	22-199-32	"Kinderbett WIKI Babybett Kinderzimmer Babyzimmer Walnuss Weiß"	203,80	0,00	203,80	0,00	0,00	203,80	100,00	new
0683813568617	30-64-DD-82	"Garderobe BONANZA 4-TLG Garderobenschrank Paneel Kommode Hochschrank Bank Driftwood Nachbildung"	815,90	0,00	815,90	0,00	0,00	815,90	100,00	new
0683813568624	30-64-DD-83	"Garderobe BONANZA 2 4-TLG Garderobenschrank Paneel Kommode Hochschrank Bank Driftwood Nachbildung"	800,90	0,00	800,90	0,00	0,00	800,90	100,00	new
0683813568631	62-346-94+62-346-94	"Stuhlset TALIA 2-tlg Stuhl Esszimmerstuhl beige grau"	203,40	0,00	203,40	0,00	0,00	203,40	100,00	new
0683813568648	62-336-C0+62-336-C0	"Stuhlset ANITA 2-tlg Stuhl Esszimmerstuhl Armlehne grau"	238,40	0,00	238,40	0,00	0,00	238,40	100,00	new
0683813568655	62-362-C0+62-362-C0	"Stuhlset HOLLY 2-tlg Stuhl Esszimmerstuhl Samt Bezug grau"	235,90	0,00	235,90	0,00	0,00	235,90	100,00	new
0683813568662	TMM683813568662	"Babyzimmer-Set Paula 5tlg Wickelkommode Babybett Kleiderschrank 3türig Regal weiß"	721,90	0,00	721,90	0,00	0,00	721,90	100,00	new
0683813568679	318212+318216	"Wickelkommode Filou incl. Regal Babyzimmer Kommode Wickeltisch Alpinaweiß"	274,10	0,00	274,10	0,00	0,00	274,10	100,00	new
0683813568686	318200+320332	"Wickelkommode Filou II incl. Regal Babyzimmer Kommode Wickeltisch Alpinaweiß"	288,10	0,00	288,10	0,00	0,00	288,10	100,00	new
0683813568693	38-251-68+22-120-68	"Ausziehbett  Eckkleiderschrank Nessi Bett 90cm Einzelbett Bettkasten begehbarer Kleiderschrank 146cm Eiche Sonoma Weiß"	736,80	0,00	736,80	0,00	0,00	736,80	100,00	new
0683813568709	75-90-33	"Dielenschrank FREIBURG 3-türig Spiegel antiker Landhausstil Fichte altweiß massiv"	771,90	0,00	771,90	0,00	0,00	771,90	100,00	new
0683813568723	58-330-17+22-330-17+36-331-17+35-330-17+	"Babyzimmer-Set Bibo 5tlg Wickelkommode Unterstellregal Babybett Wandboard Kleiderschrank 2türig weiß"	644,90	0,00	644,90	0,00	0,00	644,90	100,00	new
0683813568730	58-334-17+22-330-17+36-331-17+35-330-17+	"Babyzimmer-Set Bibo 5tlg Wickelkommode Unterstellregal Babybett Wandboard Kleiderschrank 3türig weiß"	676,90	0,00	676,90	0,00	0,00	676,90	100,00	new
0683813568747	58-334-17+22-330-17+36-331-17+35-330-17+	"Babyzimmer-Set Bibo 5tlg Wickelkommode Unterstellregal Babybett Standregal Kleiderschrank 3türig weiß"	763,90	0,00	763,90	0,00	0,00	763,90	100,00	new
0683813568754	TMM683813568754	"Babyzimmer-Set Bibo 6tlg Wickelkommode Unterstellregal Babybett Wandboard Standregal Kleiderschrank 2türig weiß"	743,80	0,00	743,80	0,00	0,00	743,80	100,00	new
0683813568761	22-777-32+58-177-32+35-177-32	"Jugendzimmer-Set Kinderzimmer WIKI Bett Regal Schrank 3 trg. Walnuss Nachbildung weiß"	480,90	0,00	480,90	0,00	0,00	480,90	100,00	new
0683813568778	TMM683813568778	"Babyzimmer-Set Paula 7tlg Wickelkommode Babybett Kleiderschrank 3türig Regal Wandboard Bettseiten weiß"	839,80	0,00	839,80	0,00	0,00	839,80	100,00	new
