2021-04-19 | 13:28:19.942 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T13:28:19.941
2021-04-19 | 13:28:19.942 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T13:28:19.942
2021-04-19 | 13:28:21.844 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T13:28:21.844
2021-04-19 | 13:28:21.844 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T13:28:21.844
2021-04-19 | 13:28:23.001 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T13:28:23.001
2021-04-19 | 13:28:23.002 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T13:28:23.002
2021-04-19 | 13:28:28.747 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T13:28:28.747
2021-04-19 | 13:28:28.753 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 13:28:28.754 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T13:28:28.754
2021-04-19 | 13:59:24.104 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T13:59:24.104
2021-04-19 | 13:59:24.110 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T13:59:24.110
2021-04-19 | 14:09:30.894 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T14:09:30.894
2021-04-19 | 14:09:30.899 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Delivery time has been pushed to Magento at--2021-04-19T14:09:30.899
2021-04-19 | 14:09:30.901 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 14:09:30.907 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 14:09:30.907 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T14:09:30.907
2021-04-19 | 14:17:09.780 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T14:17:09.780
2021-04-19 | 14:17:09.780 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T14:17:09.780
2021-04-19 | 14:17:11.541 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T14:17:11.541
2021-04-19 | 14:17:11.541 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T14:17:11.541
2021-04-19 | 14:17:12.739 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T14:17:12.739
2021-04-19 | 14:17:12.740 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T14:17:12.740
2021-04-19 | 14:39:45.467 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T14:39:45.467
2021-04-19 | 14:39:45.478 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T14:39:45.477
2021-04-19 | 15:00:00.013 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T15:00:00.013
